BorrowerState,EmploymentStatus,EmploymentStatusDuration,LoanOriginalAmount
CA,Employed,48,4000
MD,Employed,103,7000
MI,Other,146,20000
TX,Employed,48,4500
NC,Employed,5,7000
DE,Employed,35,5000
CA,Employed,380,5000
FL,Employed,39,10000
IL,Employed,77,10000
IL,Employed,62,4000
IL,Employed,17,15000
NY,Self-employed,25,15000
NJ,Employed,10,4000
MI,Full-time,3,17000
TX,Employed,119,20000
SC,Employed,66,8000
FL,Employed,19,2000
KY,Full-time,38,5025
,Not available,,7500
GA,Employed,221,10000
CT,Employed,163,4200
MD,Self-employed,49,4000
TX,Full-time,23,2500
CA,Self-employed,18,4000
TX,Employed,181,2000
KS,Employed,75,1500
OH,Employed,413,4000
NJ,Self-employed,26,15000
CO,Full-time,85,5500
NY,Employed,109,15000
AR,Employed,18,13000
GA,Employed,3,4000
KY,Self-employed,78,15000
CA,Full-time,20,25000
MS,Self-employed,225,3000
IL,Employed,101,4000
MI,Employed,96,15000
CA,Employed,173,10000
AL,Employed,158,7500
CO,Full-time,40,7300
IL,Employed,56,10000
IL,Employed,83,16500
OH,Employed,250,7500
WI,Full-time,16,3600
,Full-time,22,4000
CA,Employed,151,11000
OH,Employed,65,4000
AL,Employed,41,4000
NY,Self-employed,158,4000
NJ,Self-employed,30,2500
CA,Employed,160,8000
CT,Employed,27,12000
NJ,Not employed,2,2000
FL,Not available,,2000
KS,Self-employed,68,2000
IL,Full-time,36,10000
CA,Full-time,83,5000
NY,Employed,58,7000
AR,Full-time,13,2000
TN,Employed,41,2000
CT,Employed,41,10000
MD,Full-time,74,5000
TX,Full-time,101,5500
GA,Full-time,130,2000
WA,Employed,26,15000
,Full-time,11,8500
MO,Other,8,4000
CA,Employed,65,3500
MN,Self-employed,170,15000
MN,Employed,191,15000
GA,Employed,8,2000
CO,Self-employed,1,2500
WA,Employed,213,10000
VA,Employed,93,20000
NV,Employed,87,4500
CA,Employed,21,10000
MN,Employed,122,3000
CA,Full-time,164,4500
GA,Full-time,16,10000
NM,Employed,31,4000
CA,Full-time,64,4000
VA,Employed,93,9000
WA,Not available,,3500
MI,Full-time,13,1545
IL,Full-time,7,16000
CA,Full-time,12,1000
ID,Not available,,1000
OH,Full-time,39,4000
MI,Full-time,33,3800
WV,Employed,84,3000
OH,Employed,51,25000
FL,Not available,,5500
PA,Employed,57,10000
IL,Employed,216,19000
PA,Employed,111,4000
MO,Full-time,68,4000
MI,Full-time,7,10000
CA,Employed,32,7500
WA,Employed,69,7000
NC,Full-time,68,4800
OH,Full-time,96,5000
OK,Employed,38,4000
,Not available,,25000
,,,3500
CO,Employed,55,9000
CA,Employed,124,7000
CT,Self-employed,110,7000
KS,Employed,61,3000
NY,Employed,6,10000
OK,Full-time,45,4700
PA,Employed,101,15000
WI,Self-employed,37,5000
GA,Employed,37,11000
FL,Full-time,98,4000
IL,Employed,47,15000
WA,Full-time,190,1500
DC,Full-time,50,15000
,Not available,,3001
MD,Employed,11,15500
,Full-time,169,3000
VA,Not available,,2500
MN,Full-time,52,8000
NY,Full-time,91,8000
MI,Employed,5,4000
CA,Employed,66,6950
NV,Employed,141,15000
IL,Full-time,24,7000
ID,Full-time,320,20000
NJ,Full-time,6,16000
IL,Other,31,10000
IL,Full-time,135,10000
AZ,Employed,103,7500
SC,Employed,20,4000
OH,Employed,146,2000
CA,Employed,32,7000
GA,Other,28,4000
WV,Employed,220,9000
IL,Full-time,32,1000
TN,Employed,40,10000
CA,Full-time,24,25000
ID,Employed,284,15000
OH,Full-time,30,2500
WA,Employed,108,3500
CA,Part-time,75,2100
NV,Employed,15,7500
VA,Self-employed,79,18000
GA,Employed,6,10000
PA,Employed,125,3000
OK,Self-employed,7,1000
VA,Employed,132,25000
MD,Employed,84,3500
OH,Employed,226,11890
TN,Full-time,50,7500
NY,Employed,13,3000
TX,Employed,3,4000
GA,Employed,2,7000
,Self-employed,10,8000
WA,Employed,23,7500
OH,Employed,95,5000
CA,Full-time,0,3750
OK,Employed,17,25000
VA,Employed,347,20000
WI,Employed,174,15000
AL,Full-time,77,5000
UT,,,4000
AR,Employed,407,4000
TN,Employed,124,5500
VA,Employed,14,7000
,Full-time,189,12000
CA,Employed,103,10000
FL,Employed,47,4500
CA,Employed,19,4000
FL,Full-time,46,20000
NC,Employed,83,9000
MN,Employed,111,7000
SC,Employed,35,13500
OK,Employed,61,10000
NJ,Employed,169,15000
CT,Employed,125,16000
VA,Employed,65,10000
,Full-time,4,1500
MN,Employed,79,10000
WA,Full-time,49,2500
CT,Employed,115,3600
CO,Full-time,13,4800
GA,Not available,,10000
PA,Employed,18,10000
DC,Employed,13,15000
NV,Other,162,4000
WV,Self-employed,9,4000
TX,Full-time,104,6000
FL,Employed,2,2500
NY,Employed,27,15000
OH,Full-time,80,7500
NY,Full-time,26,20000
CT,Employed,67,18000
CA,Part-time,61,6000
AL,Employed,28,20000
OR,Full-time,55,1000
TX,Employed,296,21000
MI,Employed,5,15000
IL,Employed,400,15000
MO,Employed,456,14584
NY,Full-time,12,5000
MT,Full-time,26,2500
MD,Full-time,113,5000
IL,Full-time,13,7000
CA,Employed,117,25000
NV,Employed,166,4000
NJ,Other,21,4000
NC,Not available,,3035
IN,Other,41,5000
PA,Employed,4,3000
WA,Retired,39,5000
,Not available,,5000
,Not available,,5000
CA,Retired,53,2700
OK,Full-time,26,1000
CA,Employed,116,19000
IN,Employed,118,10000
NY,Employed,6,13000
FL,Self-employed,9,8000
OH,Employed,179,4000
MN,Employed,367,12000
MO,Employed,48,4500
LA,Employed,250,13000
HI,Employed,368,6500
NY,Employed,46,2500
VA,Full-time,13,15000
CA,Employed,277,8000
NY,Employed,38,5000
CA,Employed,84,5000
,Full-time,49,4000
MS,Employed,114,4200
IL,Employed,64,2000
IN,Not available,,5000
AR,Self-employed,446,10000
MI,Full-time,162,5000
GA,Full-time,33,5000
MI,Employed,136,3000
OH,Employed,37,15000
PA,Employed,340,10000
TX,Part-time,71,5000
CA,Employed,136,1500
OH,Full-time,72,10000
NY,Employed,12,8500
MI,Employed,13,2000
TN,Full-time,409,2000
CA,Other,0,10000
OR,Full-time,24,5000
GA,Employed,129,3500
WA,Not available,,1700
MO,Full-time,10,3500
NH,Employed,230,6290
OH,Full-time,105,2500
NC,Employed,35,5000
WI,Self-employed,77,15000
UT,Full-time,22,7200
NY,Employed,7,15000
IL,Full-time,66,3000
FL,Self-employed,1,4000
FL,Full-time,14,21500
CA,Not available,,3000
MD,Employed,8,13000
SC,Employed,172,4000
OH,Full-time,12,3000
NC,Employed,40,18000
CO,Employed,19,4000
CO,Employed,192,15000
FL,Employed,43,10000
IL,Employed,80,20000
FL,Full-time,182,2800
AR,Other,0,10000
TX,Employed,362,12000
GA,Employed,55,7500
WI,Employed,17,4000
CA,Employed,118,10000
TX,Employed,37,3200
CA,Employed,97,14400
TX,Employed,264,7500
CA,Employed,22,4000
CO,Self-employed,1,10000
MD,Employed,222,5000
IN,Full-time,114,2100
VT,Full-time,148,4000
MN,Employed,179,7000
FL,Employed,51,4000
GA,Employed,42,7500
FL,Full-time,86,7500
PA,Employed,8,6200
TX,,,1000
FL,Employed,3,2100
NC,Retired,65,1500
CT,Full-time,48,9000
CA,Employed,33,2000
NC,Self-employed,151,4000
MS,Employed,20,3000
WA,Other,227,4000
CA,Full-time,43,2551
WI,Employed,75,8000
CA,Employed,1,4000
LA,,,1000
NY,Employed,28,4000
CA,Employed,44,10850
IL,Employed,162,25000
CA,Full-time,0,2550
,,,3500
TX,Employed,3,13000
NY,Employed,36,20000
CT,Employed,173,15000
MN,Self-employed,7,10000
NY,Employed,114,10000
CA,Employed,58,15000
TX,Employed,53,23500
TX,Employed,11,7000
CA,Employed,102,23547
WA,Employed,32,3500
NY,Employed,23,4000
IN,Employed,157,6000
GA,Employed,66,4000
TX,Employed,34,15000
,Full-time,1,6001
CA,Employed,59,5000
MO,Employed,154,4000
FL,Full-time,200,2500
WI,Employed,177,15000
TX,Employed,79,15000
TX,Employed,56,25000
CO,Employed,82,4000
NY,Employed,8,20500
CA,Employed,173,15000
WA,Full-time,31,3000
TX,Employed,23,14000
NJ,Employed,54,3500
MA,Employed,68,7000
NV,Full-time,8,3000
TX,Employed,65,4000
AR,Employed,16,15000
MA,Employed,161,20000
OR,Part-time,3,5000
GA,Employed,51,7500
,Not available,,6800
MA,Employed,51,2000
NJ,Employed,4,2500
WA,Full-time,20,2500
NE,Employed,62,15000
VA,Employed,80,10000
DC,Full-time,21,1500
IL,Full-time,15,10000
NJ,Employed,21,30000
MO,Self-employed,46,4000
,Full-time,36,20000
GA,Employed,349,10000
IL,Employed,20,35000
TN,Employed,223,15000
OK,Employed,330,4000
TX,Employed,27,10000
MO,Employed,99,15000
MO,Full-time,258,11000
NJ,Employed,163,15000
NH,Part-time,5,1000
AL,Employed,11,15000
WA,Employed,140,15000
NY,Employed,133,10000
FL,Employed,256,6500
VA,Other,208,30000
CA,Full-time,62,3400
NJ,Full-time,15,15000
GA,Full-time,249,20000
NE,Employed,187,15000
KS,,,1500
IN,Full-time,3,18500
FL,Retired,289,2500
MI,Employed,86,15000
NJ,Employed,27,10000
CA,Employed,305,9000
TX,Employed,91,15000
CA,Employed,141,6000
NJ,Employed,92,21000
FL,Not available,,15000
CA,Employed,167,4000
NY,Employed,11,15000
AL,Full-time,13,6000
CA,Full-time,71,25000
OK,Employed,54,4000
FL,Employed,110,4400
AZ,Full-time,105,7200
FL,Employed,109,20000
AZ,Employed,44,4000
GA,Employed,100,22500
VA,Employed,232,10000
OH,Employed,7,7000
WY,Employed,156,15000
NJ,Employed,1,25000
TX,Employed,7,4000
CA,Full-time,12,7500
TX,Retired,0,3500
OH,Self-employed,106,15000
DC,Employed,74,7000
LA,Full-time,48,16000
OH,Employed,44,3000
MD,Employed,338,10000
CA,Employed,134,2300
GA,Employed,32,35000
WA,Not employed,23,2500
NY,Employed,149,10000
CA,Employed,133,15000
GA,Employed,25,8000
TX,Employed,5,4000
OH,Employed,119,2600
,Full-time,12,1000
PA,Employed,130,15000
NY,Other,355,15000
FL,Employed,17,4000
,,,6001
OH,Employed,25,5000
OR,Self-employed,140,15000
MN,Employed,144,15000
MN,Full-time,309,9500
FL,Part-time,17,1000
MI,Full-time,57,4000
TX,Employed,100,5000
UT,Not available,,7000
WA,Employed,23,15000
IL,Employed,82,10000
FL,Employed,11,4000
GA,Employed,112,15000
WI,Employed,107,10000
NH,Employed,50,20000
,Full-time,50,2550
TX,Employed,182,4000
ID,Employed,115,20000
,Full-time,150,3500
MO,Full-time,238,4000
IL,Employed,154,10000
,Full-time,28,6001
GA,Employed,51,14000
,Not available,,1225
GA,Full-time,84,4000
IL,Employed,450,4000
CA,Full-time,37,4500
OH,Full-time,37,2348
NC,Employed,306,6000
CA,Employed,14,2000
PA,Self-employed,70,1000
CT,Employed,73,17500
AZ,Not available,,3000
KY,Employed,16,10000
ME,Full-time,21,4000
CA,Employed,216,20000
CA,Employed,378,4000
PA,Full-time,17,10000
FL,Self-employed,194,4000
MD,Employed,28,9000
NY,Employed,281,25000
AL,Full-time,77,2000
TX,Employed,261,15000
FL,Employed,15,14000
MD,Employed,28,4000
VA,Full-time,4,7400
NY,Employed,38,6000
NE,Full-time,32,4000
MI,Employed,234,7000
MO,Full-time,112,4000
TX,Employed,291,4000
WA,Employed,96,5000
NY,Employed,33,10000
GA,Full-time,41,6000
CA,Self-employed,13,3500
VA,Employed,5,4000
WA,Employed,0,10000
MT,Full-time,80,3500
NC,Employed,24,4950
FL,Employed,13,10170
CA,Not available,,10000
FL,Employed,164,11000
AK,Full-time,15,1500
OH,Employed,156,11500
AL,Part-time,2,3500
MI,Employed,39,15000
CO,Employed,234,3000
WI,Employed,210,15000
WA,Employed,91,24000
GA,Employed,42,7000
OH,Full-time,240,1500
IN,Full-time,178,2500
NY,Employed,231,15000
WA,Employed,166,19000
GA,Full-time,2,3500
IL,Employed,18,6000
NJ,Employed,100,15500
KS,Employed,248,10000
MN,Employed,76,8500
CA,Employed,69,10000
WI,Employed,185,5000
NY,Employed,89,23000
TX,Employed,52,2500
IL,Full-time,31,1800
,Full-time,28,4500
NY,Employed,281,10000
MO,Employed,145,5000
NY,Full-time,139,3000
MA,Employed,15,26000
NC,Employed,517,10000
NE,Employed,4,10000
OH,Self-employed,35,3151
FL,Full-time,32,1000
KY,Employed,30,3000
OH,Employed,121,15000
MO,Employed,194,10000
,Not available,,4000
FL,Full-time,73,10000
FL,Full-time,53,2500
,Not available,,1000
WY,Employed,306,16000
CA,Employed,37,12000
,Full-time,90,5000
TX,Employed,72,4000
MO,Not available,,2500
CO,Employed,287,9500
KS,Employed,0,2000
TX,Employed,121,5110
VA,Employed,13,13000
MI,Full-time,1,5000
TX,Employed,106,3000
TX,Full-time,49,3000
HI,Employed,76,7000
MD,Employed,37,4000
RI,Other,111,10000
OR,Not available,,19000
OR,Employed,17,3000
WI,Employed,145,6000
CA,Not available,,8500
MI,Employed,118,25000
GA,Other,30,2000
MN,Full-time,45,3000
WI,Not available,,5000
CO,Full-time,41,4500
CA,Employed,63,6000
FL,Employed,27,5000
AZ,Full-time,10,25000
NY,Employed,53,10000
WA,Full-time,20,10000
MN,Part-time,43,4600
NJ,Employed,180,15000
FL,Other,114,8000
VA,Full-time,73,4900
IL,Employed,64,20000
SC,Other,398,15000
FL,Other,0,4000
PA,Employed,129,2500
CA,Full-time,9,10000
WA,,,1900
WA,Employed,14,20000
MO,Employed,160,12000
OH,Full-time,110,1000
NJ,Employed,390,25000
CA,Self-employed,2,10000
AZ,,,1700
CA,Employed,198,2500
NJ,Employed,363,25000
NY,Self-employed,157,10000
TX,Employed,9,15000
MA,Employed,15,10000
GA,Employed,86,15000
UT,Part-time,23,1000
CA,Employed,215,13800
IN,Employed,15,2500
NH,Not available,,25000
,,,1800
TX,Employed,20,15000
NJ,Employed,173,12000
FL,Employed,7,4000
OH,Employed,186,3000
IL,Full-time,83,10000
VA,Full-time,48,7000
MN,Employed,54,7000
GA,Employed,56,6000
RI,Full-time,31,7500
NJ,Employed,17,4000
CO,Employed,16,13000
NY,Full-time,45,2690
NY,Employed,34,10000
CA,Full-time,318,9500
IN,Full-time,36,1000
VA,Employed,38,4000
IL,Employed,68,7000
NJ,Employed,207,17000
NJ,Employed,456,3100
UT,Full-time,16,3000
OR,Self-employed,13,4000
AL,Employed,60,15000
CA,Employed,78,12500
MN,Employed,39,13000
TX,Employed,30,3000
CA,Employed,137,4000
WA,Full-time,140,1000
GA,Employed,8,6000
GA,Employed,6,15000
NY,Employed,312,10000
MO,Employed,69,15000
OR,Employed,26,2000
MS,Employed,148,4000
UT,Other,0,7500
MA,Not available,,24000
AL,Employed,316,15000
VA,Employed,96,25000
NE,Employed,185,15000
CA,Employed,24,20000
OH,Full-time,305,2200
RI,Employed,244,3600
FL,Self-employed,234,4000
NY,Employed,342,10000
DC,Full-time,224,7500
CA,Employed,144,7500
OK,Employed,253,20000
TX,Employed,424,10000
AL,Employed,91,23695
MO,Full-time,122,5000
PA,Employed,115,15000
CA,Employed,17,7900
,,,5000
GA,Employed,59,4000
AL,Other,0,4000
NY,Employed,547,15000
LA,Employed,57,4000
MI,Employed,91,5000
ID,Employed,104,4000
IL,Not available,,1500
VA,Employed,76,5000
CA,Employed,77,10000
MA,Employed,43,5500
PA,Full-time,97,1500
,Not available,,8000
,Not available,,2000
CA,Employed,45,14500
TX,Not available,,9500
OH,Other,205,4000
MN,Full-time,42,2000
TN,Employed,41,7500
IL,Employed,56,10000
,Retired,31,13000
NJ,Employed,16,13000
PA,Retired,50,3000
NY,Other,76,5404
FL,Employed,99,3000
LA,Employed,66,5000
GA,Not available,,3050
FL,Employed,64,10000
OH,Employed,289,7400
FL,Full-time,72,20000
CA,Full-time,189,1000
NY,Employed,20,25000
CA,Employed,294,15000
CA,Employed,217,3500
OH,Employed,160,3000
TX,Employed,323,10000
MO,Full-time,178,6000
CA,Employed,11,4500
MO,Employed,16,13000
,Not available,,2500
CT,Employed,52,7000
MN,Full-time,53,5000
FL,Full-time,113,8000
,Not available,,1000
CA,Employed,84,4000
OK,Full-time,85,10000
OH,Self-employed,143,4000
NY,Employed,48,15000
CT,Employed,134,8000
MO,Full-time,54,7500
OH,Full-time,329,1000
MA,Employed,64,15000
AR,Not available,,1000
SC,Employed,346,3000
IN,Employed,200,4000
MD,Employed,241,4000
IN,Employed,120,4500
WA,Self-employed,26,14000
NY,Employed,56,3000
TN,Employed,226,15000
TX,Employed,7,8500
CA,Employed,97,18500
NE,Employed,89,13000
GA,Employed,58,15000
VA,Employed,310,10000
VA,Employed,23,13000
IL,Employed,7,4000
PA,Employed,89,4000
MN,Not employed,1,2000
CA,Employed,130,2000
MO,,,13500
NJ,Employed,71,15000
IN,Full-time,111,25000
NJ,Employed,38,15000
NC,Employed,207,11500
MA,Employed,34,8500
CA,Employed,205,4000
IL,Full-time,93,6500
WA,Full-time,38,15000
WA,Employed,319,5000
WI,Employed,87,4000
GA,Employed,103,15000
VA,Full-time,9,2500
CA,Not employed,4,1000
NJ,Employed,71,15000
WA,Employed,181,17500
OH,Employed,0,4981
OH,Employed,16,2000
TX,Self-employed,97,15000
KY,Employed,101,4000
NJ,Employed,80,4000
FL,Self-employed,133,3000
NY,Employed,179,10000
MD,Employed,100,10000
MD,Employed,100,10000
MO,Employed,174,4000
WA,Employed,76,25000
IL,Employed,3,2000
LA,Self-employed,337,4000
WA,Full-time,71,1500
MA,Full-time,6,6001
WV,Employed,41,2500
OH,Employed,100,5000
MO,Employed,28,6567
TX,Employed,112,3000
FL,Employed,8,7500
PA,Self-employed,442,4000
OH,Employed,133,13000
WY,Full-time,160,1000
NV,Not employed,34,15000
MT,Employed,23,7000
IL,Employed,22,7000
NY,Other,0,15000
PA,Employed,27,9000
LA,Employed,2,4000
NC,Full-time,21,4500
WI,Employed,101,10000
IL,Full-time,51,5000
,,,5000
NJ,Full-time,88,2000
NC,Employed,302,11500
UT,Employed,72,10000
MA,Employed,163,10000
AL,Full-time,46,3500
FL,Employed,22,30000
CA,Employed,57,15000
NJ,Employed,222,5000
SC,Full-time,28,5000
AK,Full-time,47,10000
TX,Not available,,19500
NY,Employed,10,12000
CA,Employed,47,2000
OH,Employed,211,4000
CA,Employed,37,10000
TX,Employed,82,15000
NC,Not available,,1000
MN,Full-time,295,4000
GA,Employed,187,20000
OK,Full-time,71,5000
VA,Employed,20,7500
CA,Employed,64,4000
NH,Employed,126,2000
AZ,Employed,46,4000
NM,Full-time,116,5000
IL,Full-time,35,25000
CA,Other,60,4000
FL,Employed,18,15000
VA,Full-time,9,5000
CA,Self-employed,3,15000
FL,Employed,298,8000
TN,Full-time,123,13000
MT,Full-time,19,2500
SC,Employed,23,10000
CA,Full-time,23,4500
IL,Employed,104,10000
TX,Full-time,80,2000
FL,Employed,378,15000
AL,Not available,,2000
IL,Employed,89,3000
CA,Employed,32,2000
OH,Full-time,47,12015
MI,Other,27,4000
CA,Full-time,75,3000
CA,Employed,87,15000
CA,Full-time,71,25000
TX,Employed,57,5000
CT,Employed,29,4000
GA,Employed,74,9000
VA,Employed,38,15000
IL,Employed,127,20000
WY,Employed,186,4000
CA,Full-time,1,4000
WA,Employed,115,2000
FL,Employed,57,5000
IN,Employed,20,20000
OK,Employed,1,3000
TX,,,3000
GA,Employed,172,4000
MA,Employed,125,15000
CO,Full-time,4,12000
SC,Employed,42,8500
MA,Employed,52,2500
GA,Employed,1,10000
GA,Employed,53,4000
OK,Self-employed,52,15000
CA,Full-time,44,5000
,Part-time,3,14000
GA,Employed,5,19000
CA,Employed,72,6000
PA,Employed,325,10000
MD,Self-employed,108,6250
TX,Full-time,21,7400
TX,Employed,23,24000
VA,Employed,41,4000
OK,Employed,72,15000
GA,Employed,6,4000
TX,Not available,,1000
AZ,Full-time,49,5000
RI,Employed,100,7500
MS,Employed,79,15000
,Not available,,1500
TX,Employed,14,15000
NY,Employed,15,3500
CA,Self-employed,17,3000
PA,Employed,61,2000
IN,Employed,90,15000
CA,Employed,97,5000
VA,Employed,21,12000
MN,Employed,118,10000
TX,Employed,52,8000
CA,Full-time,95,2500
IN,Employed,294,15000
IN,Employed,37,7500
CA,Employed,376,20000
,Full-time,84,7000
CA,Self-employed,89,4000
NJ,Employed,431,15000
CT,Employed,355,22000
TX,Self-employed,270,10000
IL,Employed,6,4000
MI,Self-employed,142,3000
,,,2550
OK,Employed,85,4000
FL,Employed,122,15000
NY,Employed,56,2000
MA,Employed,68,10000
,Full-time,62,7500
WA,Employed,51,2000
GA,Full-time,141,10000
NY,Full-time,227,4000
IL,Employed,333,10000
IL,Not available,,3000
NJ,Employed,139,4000
ME,Full-time,19,1000
NH,Employed,53,2500
NE,Other,0,10000
WV,Employed,62,7500
IN,Full-time,7,3300
PA,Employed,100,10000
AR,Full-time,69,1600
TX,,,4000
NV,Employed,57,13000
KY,Employed,74,14500
,,,3000
IL,Full-time,8,10000
PA,Employed,126,10000
OH,Employed,19,6000
NY,Employed,17,15000
CA,Employed,75,8000
AZ,Employed,21,5500
MN,Employed,10,4000
AL,Self-employed,151,4000
OH,Not employed,0,7000
